"potentialBenefits","recommendationTypeId","learnMoreLink.Name","learnMoreLink.Url","publishedToAdvisor","aprlGuid","automationAvailable","description","publishedToLearn","recommendationControl","recommendationResourceType","longDescription","recommendationImpact","tags","pgVerified","recommendationMetadataState","automationAvailableReal"
"Enhanced availability & resilience",,"Learn More","https://learn.microsoft.com/en-us/azure/api-management/upgrade-and-scale#change-your-api-management-service-tier","False","baf3bfc0-32a2-4c0c-926d-c9bf0b49808e","arg","Migrate API Management services to Premium SKU to support Availability Zones","False","High Availability","Microsoft.ApiManagement/service","Upgrading the API Management instance to the Premium SKU adds support for Availability Zones, enhancing availability and resilience by distributing services across physically separate locations within Azure regions.
","High",,"Preview","Active","arg"
"Improved resilience to zone failures",,"Learn More","https://learn.microsoft.com/en-us/azure/api-management/high-availability#availability-zones","False","740f2c1c-8857-4648-80eb-47d2c56d5a50","arg","Enable Availability Zones on Premium API Management instances","False","High Availability","Microsoft.ApiManagement/service","Zone redundancy for APIM instances ensures the gateway and control plane (Management API, developer portal, Git configuration) are replicated across datacenters in physically separated zones, boosting resilience to zone failures.
","High",,"Preview","Active","arg"
"Ensures service continuity",,"Learn More","https://learn.microsoft.com/en-us/azure/api-management/breaking-changes/stv1-platform-retirement-august-2024","False","e35cf148-8eee-49d1-a1c9-956160f99e0b","arg","Upgrade to platform version stv2","False","High Availability","Microsoft.ApiManagement/service","Upgrading to API Management stv2 is required as stv1 retires on 31 Aug 2024, offering enhanced capabilities with the new platform version.
","High",,"Preview","Active","arg"
"Ensures continuity during outages",,"Learn More","https://learn.microsoft.com/en-us/azure/automation/automation-disaster-recovery?tabs=win-hrw%2Cps-script%2Coption-one","False","67205887-0733-466e-b50e-b1cd7316c514","no","Set up disaster recovery of Automation accounts and its dependent resources","False","High Availability","Microsoft.Automation/automationAccounts","Set up disaster recovery for Automation accounts and resources like Modules, Connections, Credentials, Certificates, Variables, and Schedules to deal with region or zone failures. A replica Automation account should be ready in a secondary region for failover. 
","High",,"Preview","Active","none"
"Prompt mitigation of issues.",,"Learn More","https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/azure-vmware/eslz-management-and-monitoring#design-recommendations","False","74fcb9f2-9a25-49a6-8c42-d32851c4afb7","arg","Configure Azure Service Health notifications and alerts for Azure VMware Solution","False","Monitoring and Alerting","Microsoft.AVS/privateClouds","Ensure Azure Service Health notifications are set for Azure VMware Solution across all used regions and subscriptions. This communicates service/security issues and maintenance activities like host replacements and upgrades, reducing service request submissions.
","Medium",,"Verified","Active","arg"
"Enhanced network safety & performance",,"Learn More","https://docs.vmware.com/en/VMware-HCX/4.8/hcx-user-guide/GUID-0C746416-850E-46F7-85DD-4D4326A23785.html","False","6be9a543-cf82-4926-82ea-7e1f1ffaad80","no","Verify Management Networks are not extended with HCX Network Extension","False","Other Best Practices","Microsoft.AVS/privateClouds","Do not extend the network used by the HCX Management devices to ensure the network's security and stability.
","High",,"Verified","Active","none"
"Improves HCX service continuity",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-vmware/configure-hcx-network-extension-high-availability","False","bce16eee-0933-4baa-ab4d-8d1bb5653fc2","no","Use HCX Network Extension High Availability","False","High Availability","Microsoft.AVS/privateClouds","Enable Network Extension High Availability for appliance failure tolerance in HCX service. It pairs selected appliances for Active Standby configuration, ensuring high availability and quick recovery, keeping configurations in-service despite failures.
","High",,"Verified","Active","none"
"Continuous login access during maintenances",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-vmware/configure-identity-source-vcenter","False","c2794660-ffd7-4da3-96ba-5d546b70b1c6","no","Integrate LDAPS Identity with dual sources for enhanced NSX and vCenter security","False","Security","Microsoft.AVS/privateClouds","Ensure two external identity sources are configured for NSX and vCenter Server. The VMware vCenter Server and NSX Manager use these for authentication with external identities.
","High",,"Verified","Active","none"
"Avoid outages with key auto-rotation",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-vmware/configure-customer-managed-keys?tabs=azure-portal","False","e0ac2f57-c8c0-4b8c-a7c8-19e5797828b5","no","Use key autorotation for vSAN datastore customer-managed keys","False","Security","Microsoft.AVS/privateClouds","When using customer-managed keys for encrypting vSAN datastores, leveraging Azure Key Vault for central management and accessing them via a managed identity linked to the private cloud is advised. The expiration of these keys can render the vSAN datastore and its associated workloads inaccessible.
","High",,"Preview","Active","none"
"Enhanced private cloud connectivity",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-vmware/connect-multiple-private-clouds-same-region","False","726abfe3-adae-4a6d-8eb8-4b27a7214ca1","no","Use the AVS Interconnect feature to connect private clouds in different availability zones","False","High Availability","Microsoft.AVS/privateClouds","Use the Interconnect feature for direct communication between private clouds in different availability zones, enabling connectivity between the private clouds management and workload networks.
","High",,"Verified","Active","none"
