type,name,abbreviation
microsoft.databricks/workspaces,Azure Databricks,dbw
microsoft.eventgrid/domains,Event Grid,evg
microsoft.web/serverfarms,App Service Plan,asp
microsoft.virtualmachineimages/imagetemplates,Image template,it
microsoft.compute/virtualmachines,Virtual machine,vm
microsoft.compute/virtualmachinescalesets,Virtual machine scale set,vmss
microsoft.containerservice/managedclusters,Kubernetes Service,aks
microsoft.containerregistry/registries,Container registry,cr
microsoft.documentdb/databaseaccounts,Azure Cosmos DB database,cosmos
microsoft.sql/servers/databases,Azure SQL database,sqldb
microsoft.operationalinsights/workspaces,Log Analytics workspace,log
microsoft.network/applicationgateways,Application gateway,agw
microsoft.network/privatednszones,Private DNS Zone,pvdnsz
microsoft.network/azurefirewalls,Azure Firewall,afw
microsoft.network/expressroutecircuits,ExpressRoute Circuit,erc
microsoft.network/virtualNetworkGateways,ExpressRoute Gateway,ergw
microsoft.network/expressroutegateway,ExpressRoute Gateway,ergw
microsoft.cdn/profiles,Azure Front Door,afd
microsoft.cdn/frontdoors,Azure Front Door,afd
microsoft.network/loadbalancers,Load balancer,lb
microsoft.network/networksecuritygroups,Network security group,nsg
microsoft.network/networkwatchers,Network Watcher,nw
microsoft.network/privateendpoints,Private endpoint,pep
microsoft.network/publicipaddresses,Public IP,pip
microsoft.network/routetables,Route table,rt
microsoft.network/trafficmanagerprofiles,Traffic Manager profiles,traf
microsoft.network/virtualnetworks,Virtual network,vnet
microsoft.keyvault/vaults,Key vault,kv
microsoft.network/vpngateways,VPN Gateway,vpng
microsoft.network/firewallpolicies,Web Application Firewall,waf
microsoft.netapp/netappaccounts,Azure NetApp Files,anf
microsoft.storage/storageaccounts,Storage account,st
microsoft.compute/galleries,Compute Gallery,cg
microsoft.dbforpostgresql/flexibleservers,DB for PostgreSQL,psql
microsoft.cache/redis,Redis Cache,redis
microsoft.apimanagement/service,Api Management,apim
microsoft.eventhub/namespaces,Event Hub,evhns
microsoft.devices/iothubs,IoT Hub,ioth
microsoft.automation/automationaccounts,Automation Account,aa
microsoft.recoveryservices/vaults,Azure Backup,bk
microsoft.insights/components,Application Insights,appi
microsoft.insights/activitylogalerts,Resource Health Alerts,msr
microsoft.network/connections,ExpressRoute Connection,ercon
microsoft.network/expressrouteports,ExpressRoute Direct,erd
microsoft.desktopvirtualization/hostpools,Azure Virtual Desktop,avd
microsoft.avs/privateclouds,Azure VMware Solution,avs
microsoft.signalrservice/signalr,SignalR,sigr
microsoft.web/sites,Web App,app
microsoft.batch/batchaccounts,Batch Accounts,ba
microsoft.resources/resourcegroups,Resource Groups,rg
microsoft.dbformysql/flexibleservers,DB for MySQL,mysql
