WARAinScope,ResourceType,FriendlyName,InAprlAndOrAdvisor
yes,Microsoft.OperationalInsights/workspaces,Log Analytics,Yes
no,Microsoft.OperationalInsights/querypacks,Log Analytics,No
no,Microsoft.OperationalInsights/locations,Log Analytics,No
no,Microsoft.OperationalInsights/locations/operationStatuses,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/scopedPrivateLinkProxies,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/api,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/query,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/metadata,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/purge,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/operations,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/dataSources,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/linkedStorageAccounts,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/tables,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/storageInsightConfigs,Log Analytics,No
no,Microsoft.OperationalInsights/storageInsightConfigs,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/linkedServices,Log Analytics,No
no,Microsoft.OperationalInsights/linkTargets,Log Analytics,No
no,Microsoft.OperationalInsights/deletedWorkspaces,Log Analytics,No
no,Microsoft.OperationalInsights/operations,Log Analytics,No
no,Microsoft.OperationalInsights/clusters,Log Analytics,No
no,Microsoft.OperationalInsights/workspaces/dataExports,Log Analytics,No
no,Microsoft.OperationalInsights/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,Log Analytics,No
yes,microsoft.insights/components,Application Insights,Yes
no,microsoft.insights/components/query,Application Insights,No
no,microsoft.insights/components/metadata,Application Insights,No
no,microsoft.insights/components/metrics,Application Insights,No
no,microsoft.insights/components/events,Application Insights,No
no,microsoft.insights/components/syntheticmonitorlocations,Application Insights,No
no,microsoft.insights/components/analyticsItems,Application Insights,No
no,microsoft.insights/components/webtests,Application Insights,No
no,microsoft.insights/components/workItemConfigs,Application Insights,No
no,microsoft.insights/components/myFavorites,Application Insights,No
no,microsoft.insights/components/operations,Application Insights,No
no,microsoft.insights/components/exportConfiguration,Application Insights,No
no,microsoft.insights/components/purge,Application Insights,No
no,microsoft.insights/components/api,Application Insights,No
no,microsoft.insights/components/aggregate,Application Insights,No
no,microsoft.insights/components/metricDefinitions,Application Insights,No
no,microsoft.insights/components/extendQueries,Application Insights,No
no,microsoft.insights/components/apiKeys,Application Insights,No
no,microsoft.insights/components/myAnalyticsItems,Application Insights,No
no,microsoft.insights/components/favorites,Application Insights,No
no,microsoft.insights/components/defaultWorkItemConfig,Application Insights,No
no,microsoft.insights/components/annotations,Application Insights,No
no,microsoft.insights/components/proactiveDetectionConfigs,Application Insights,No
no,microsoft.insights/components/move,Application Insights,No
no,microsoft.insights/components/currentBillingFeatures,Application Insights,No
no,microsoft.insights/components/quotaStatus,Application Insights,No
no,microsoft.insights/components/featureCapabilities,Application Insights,No
no,microsoft.insights/components/getAvailableBillingFeatures,Application Insights,No
no,microsoft.insights/webtests,Application Insights,No
no,microsoft.insights/webtests/getTestResultFile,Application Insights,No
